42	Amuria	183,348	248,500
64	Budaka	207,597	278,600
52	Bududa	210,173	307,200
58	Bugiri	382,913	536,400
60	Bugweri	164,886	205,600
46	Bukedea	203,600	291,800
50	Bukwa	89,356	137,200
47	Bulambuli	174,513	264,500
56	Busia	323,662	416,700
62	Butaleja	244,153	332,200
65	Butebo	144,971	125,700
70	Buyende	323,067	468,400
72	Iganga	339,311	436,800
74	Jinja	471,242	535,800
39	Kaberamaido	105,152	148,700
40	Kalaki	109,874	155,400
71	Kaliro	236,199	317,900
75	Kamuli	486,319	596,100
48	Kapchorwa	105,186	133,900
43	Kapelebyong	87,580	112,500
44	Katakwi	166,231	209,700
66	Kibuku	202,033	278,200
45	Kumi	239,268	309,500
49	Kween	93,667	118,000
73	Luuka	238,020	281,600
54	Manafwa	153,447	186,300
59	Mayuge	473,239	615,200
63	Mbale	488,960	639,700
57	Namayingo	215,443	247,400
53	Namisindwa	200,378	247,900
61	Namutumba	252,557	336,400
68	Ngora	141,919	178,400
67	Pallisa	241,919	399,500
69	Serere	285,903	401,800
51	Sironko	242,421	290,500
41	Soroti	296,833	401,000
55	Tororo	517,080	639,700
