
REGION: CENTRAL REGION

77	Buikwe	422,771	499,800
90	Bukomansimbi	151,413	158,400
92	Butambala	100,840	110,900
78	Buvuma	89,890	154,200
93	Gomba	159,922	180,300
83	Kalangala	54,293	74,500
91	Kalungu	183,232	189,200
80	Kampala	1,507,080	1,766,500
95	Kasanda	271,544	334,100
76	Kayunga	368,062	427,100
97	Kiboga	148,218	183,300
98	Kyankwanzi	214,693	323,900
85	Kyotera	224,878	271,100
100	Luweero	456,958	558,100
87	Lwengo	274,953	297,200
88	Lyantonde	93,753	119,600
84	Masaka	297,004	364,800
96	Mityana	328,964	378,800
82	Mpigi	250,548	305,300
94	Mubende	412,804	641,800
79	Mukono	596,804	757,500
99	Nakaseke	197,373	254,900
101	Nakasongola	181,795	233,400
86	Rakai	291,431	338,900
89	Sembabule	252,597	319,300
81	Wakiso	1,997,418	3,519,300


REGION: EASTERN REGION

42	Amuria	183,348	248,500
64	Budaka	207,597	278,600
52	Bududa	210,173	307,200
58	Bugiri	382,913	536,400
60	Bugweri	164,886	205,600
46	Bukedea	203,600	291,800
50	Bukwa	89,356	137,200
47	Bulambuli	174,513	264,500
56	Busia	323,662	416,700
62	Butaleja	244,153	332,200
65	Butebo	144,971	125,700
70	Buyende	323,067	468,400
72	Iganga	339,311	436,800
74	Jinja	471,242	535,800
39	Kaberamaido	105,152	148,700
40	Kalaki	109,874	155,400
71	Kaliro	236,199	317,900
75	Kamuli	486,319	596,100
48	Kapchorwa	105,186	133,900
43	Kapelebyong	87,580	112,500
44	Katakwi	166,231	209,700
66	Kibuku	202,033	278,200
45	Kumi	239,268	309,500
49	Kween	93,667	118,000
73	Luuka	238,020	281,600
54	Manafwa	153,447	186,300
59	Mayuge	473,239	615,200
63	Mbale	488,960	639,700
57	Namayingo	215,443	247,400
53	Namisindwa	200,378	247,900
61	Namutumba	252,557	336,400
68	Ngora	141,919	178,400
67	Pallisa	241,919	399,500
69	Serere	285,903	401,800
51	Sironko	242,421	290,500
41	Soroti	296,833	401,000
55	Tororo	517,080	639,700

REGION: EASTERN REGION

27	Abim	107,966	182,800
12	Adjumani	225,251	240,000
28	Agago	227,792	262,500
31	Alebtong	227,541	286,400
38	Amolatar	147,166	182,000
23	Amudat	105,769	151,900
13	Amuru	186,696	232,500
35	Apac	185,322	249,600
3	Arua	442,586	557,900
37	Dokolo	183,093	232,900
16	Gulu	275,613	352,500
20	Kaabong	116,346	134,400
19	Karenga	51,533	73,100
18	Kitgum	204,048	232,900
1	Koboko	206,495	287,500
33	Kole	239,327	308,800
21	Kotido	181,050	219,700
36	Kwania	183,304	234,600
17	Lamwo	134,371	148,100
32	Lira	408,043	516,000
7	Madi-Okollo	140,188	176,800
2	Maracha	186,134	219,500
22	Moroto	103,432	126,300
10	Moyo	95,951	116,400
25	Nabilatuk	68,409	102,500
24	Nakapiripirit	88,281	128,100
26	Napak	142,224	166,200
5	Nebbi	238,757	306,300
14	Nwoya	133,506	314,300
11	Obongi	43,061	52,300
15	Omoro	160,732	216,400
30	Otuke	104,254	150,600
34	Oyam	383,644	491,600
29	Pader	178,004	206,700
6	Pakwach	158,037	219,000
8	Terego	199,303	251,500
9	Yumbe	484,822	775,000
4	Zombo	240,081	306,100


REGION: WESTERN REGION

122	Buhweju	120,720	156,900
104	Buliisa	113,161	171,300
111	Bundibugyo	224,387	285,000
112	Bunyangabu	170,247	208,000
123	Bushenyi	234,443	254,200
105	Hoima	305,531	413,100
118	Ibanda	249,625	290,900
127	Isingiro	486,360	658,100
136	Kabale	230,609	256,900
113	Kabarole	298,989	357,500
109	Kagadi	351,033	474,700
107	Kakumiro	293,108	601,900
116	Kamwenge	270,668	372,000
132	Kanungu	252,144	235,400
120	Kasese	694,987	843,900
117	Kazo	151,023	240,400
108	Kibaale	140,947	234,800
106	Kikuube	267,455	414,400
126	Kiruhura	177,054	205,300
102	Kiryandongo	266,197	339,200
133	Kisoro	281,705	332,200
119	Kitagwenda	143,786	197,800
115	Kyegegwa	281,637	551,900
114	Kyenjojo	422,204	584,400
103	Masindi	291,113	366,900
125	Mbarara	344,904	414,000
130	Mitooma	183,444	198,900
110	Ntoroko	67,005	80,700
129	Ntungamo	483,841	569,200
134	Rubanda	196,896	213,400
121	Rubirizi	129,149	151,500
135	Rukiga	100,726	107,200
131	Rukungiri	314,694	342,000
128	Rwampara	127,725	153,100
124	Sheema	207,343	226,300
