77	Buikwe	422,771	499,800
90	Bukomansimbi	151,413	158,400
92	Butambala	100,840	110,900
78	Buvuma	89,890	154,200
93	Gomba	159,922	180,300
83	Kalangala	54,293	74,500
91	Kalungu	183,232	189,200
80	Kampala	1,507,080	1,766,500
95	Kasanda	271,544	334,100
76	Kayunga	368,062	427,100
97	Kiboga	148,218	183,300
98	Kyankwanzi	214,693	323,900
85	Kyotera	224,878	271,100
100	Luweero	456,958	558,100
87	Lwengo	274,953	297,200
88	Lyantonde	93,753	119,600
84	Masaka	297,004	364,800
96	Mityana	328,964	378,800
82	Mpigi	250,548	305,300
94	Mubende	412,804	641,800
79	Mukono	596,804	757,500
99	Nakaseke	197,373	254,900
101	Nakasongola	181,795	233,400
86	Rakai	291,431	338,900
89	Sembabule	252,597	319,300
81	Wakiso	1,997,418	3,519,300
